"","tsn","scientificname","kingdom","phylum","classname","ordername","family","genus","species","myersname","commonname1","commonname2","myersscientificname","myersfamily"
"158",644187,"Neoplatycephalus richardsoni","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Platycephalidae","Neoplatycephalus","richardsoni","TIGERFLAT","Tiger flathead","NA","NA","NA"
"159",646043,"Sillago flindersi","Animalia","Chordata","Actinopterygii","Perciformes","Sillaginidae","Sillago","flindersi","SWHIT","School whiting","NA","NA","NA"
"160",172567,"Peprilus triacanthus","Animalia","Chordata","Actinopterygii","Perciformes","Stromateidae","Peprilus","triacanthus","BUTTER","Atlantic butterfish","butterfish","NA","NA"
"161",160200,"Rhizoprionodon terraenovae","Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Carcharhinidae","Rhizoprionodon","terraenovae","SNOSESHAR","Atlantic sharpnose shark","NA","NA","NA"
"162",80944,"Spisula solidissima","Animalia","Mollusca","Bivalvia","Veneroida","Mactridae","Spisula","solidissima","SURF","Atlantic surfclam","NA","NA","NA"
"163",166727,"Sebastes melanops","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","melanops","BLACKROCK","Black rockfish","NA","NA","NA"
"164",167687,"Centropristis striata","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Centropristis","striata","BSBASS","Black sea bass","NA","NA","NA"
"165",160304,"Carcharhinus acronotus","Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Carcharhinidae","Carcharhinus","acronotus","BNOSESHAR","Blacknose shark","NA","NA","NA"
"166",160318,"Carcharhinus limbatus","Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Carcharhinidae","Carcharhinus","limbatus","BTIPSHAR","Blacktip shark","NA","NA","NA"
"167",97936,"Paralithodes platypus","Animalia","Arthropoda","Malacostraca","Decapoda","Lithodidae","Paralithodes","platypus","BKINGCRAB","Blue king crab","NA","NA","NA"
"168",166730,"Sebastes mystinus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","mystinus","BLUEROCK","Blue rockfish","NA","NA","NA"
"169",160502,"Sphyrna tiburo","Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Sphyrnidae","Sphyrna","tiburo","BHEADSHAR","Bonnethead shark","NA","NA","NA"
"170",96028,"Sicyonia brevirostris","Animalia","Arthropoda","Malacostraca","Decapoda","Sicyoniidae","Sicyonia","brevirostris","BRNROCKSHRIMP","Brown rock shrimp","NA","NA","NA"
"171",551570,"Farfantepenaeus aztecus","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Farfantepenaeus","aztecus","BRNSHRIMP","Brown shrimp","NA","NA","NA"
"172",166734,"Sebastes pinniger","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","pinniger","CROCK","Canary rockfish","NA","NA","NA"
"173",172887,"Microstomus pacificus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Microstomus","pacificus","DSOLE","Dover sole","NA","NA","NA"
"174",166714,"Sebastes ciliatus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","ciliatus","DUSKYROCK","Dusky rockfish","NA","NA","NA"
"175",160268,"Carcharhinus obscurus","Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Carcharhinidae","Carcharhinus","obscurus","DUSKYSHAR","Dusky shark","NA","NA","NA"
"176",160409,"Carcharhinus isodon","Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Carcharhinidae","Carcharhinus","isodon","FTOOTHSHAR","Finetooth shark","NA","NA","NA"
"177",167759,"Mycteroperca microlepis","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Mycteroperca","microlepis","GAG","Gag","NA","NA","NA"
"178",173138,"Balistes capriscus","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","Balistes","capriscus","GTRIG","Gray triggerfish","NA","NA","NA"
"179",168689,"Seriola dumerili","Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Seriola","dumerili","GRAMBER","Greater amberjack","NA","NA","NA"
"180",160851,"Raja rhina","Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Raja","rhina","LNOSESKA","Longnose skate","NA","NA","NA"
"181",82521,"Illex illecebrosus","Animalia","Mollusca","Cephalopoda","Teuthida","Ommastrephidae","Illex","illecebrosus","ILLEX","Northern shortfin squid","NA","NA","NA"
"182",96967,"Pandalus borealis","Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae","Pandalus","borealis","PANDAL","Northern shrimp","NA","NA","NA"
"183",81343,"Arctica islandica","Animalia","Mollusca","Bivalvia","Veneroida","Arcticidae","Arctica","islandica","QUAH","Ocean quahog","NA","NA","NA"
"184",551574,"Farfantepenaeus duorarum","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Farfantepenaeus","duorarum","PINKSHRIMP","Pink shrimp","Northern pink shrimp","NA","NA"
"185",620992,"Chaceon quinquedens","Animalia","Arthropoda","Malacostraca","Decapoda","Geryonidae","Chaceon","quinquedens","RDEEPCRAB","Red deepsea crab","NA","NA","NA"
"186",167702,"Epinephelus morio","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Epinephelus","morio","RGROUP","Red grouper","NA","NA","NA"
"187",97935,"Paralithodes camtschaticus","Animalia","Arthropoda","Malacostraca","Decapoda","Lithodidae","Paralithodes","camtschaticus","RKCRAB","Red king crab","NA","NA","NA"
"188",95966,"Pleoticus robustus","Animalia","Arthropoda","Malacostraca","Decapoda","Solenoceridae","Pleoticus","robustus","ROYALRSHRIMP","Royal red shrimp","NA","NA","NA"
"189",160289,"Carcharhinus plumbeus","Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Carcharhinidae","Carcharhinus","plumbeus","SBARSHAR","Sandbar shark","NA","NA","NA"
"190",79718,"Placopecten magellanicus","Animalia","Mollusca","Bivalvia","Ostreoida","Pectinidae","Placopecten","magellanicus","SCALL","Sea scallop","NA","NA","NA"
"191",166725,"Sebastes jordani","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","jordani","SBELLYROCK","Shortbelly rockfish","NA","NA","NA"
"192",166712,"Sebastes borealis","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","borealis","SRAKEROCK","Shortraker rockfish","NA","NA","NA"
"193",98428,"Chionoecetes opilio","Animalia","Arthropoda","Malacostraca","Decapoda","Oregoniidae","Chionoecetes","opilio","SNOWCRAB","Snow crab","NA","NA","NA"
"194",167705,"Epinephelus niveatus","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Epinephelus","niveatus","SNOWGROUP","Snowy grouper","NA","NA","NA"
"195",172436,"Scomberomorus maculatus","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Scomberomorus","maculatus","SPANMACK","Spanish mackerel","NA","NA","NA"
"196",160617,"Squalus acanthias","Animalia","Chordata","Chondrichthyes","Squaliformes","Squalidae","Squalus","acanthias","SDOG","Spiny dogfish","NA","NA","NA"
"197",160703,"Centroscyllium fabricii","Animalia","Chordata","Chondrichthyes","Squaliformes","Etmopteridae","Centroscyllium","fabricii","BDOG","Black dogfish","NA","NA","NA"
"198",167680,"Morone saxatilis","Animalia","Chordata","Actinopterygii","Perciformes","Moronidae","Morone","saxatilis","STRIPEDBASS","Striped bass","NA","NA","NA"
"199",168546,"Lopholatilus chamaeleonticeps","Animalia","Chordata","Actinopterygii","Perciformes","Malacanthidae","Lopholatilus","chamaeleonticeps","TILE","Tilefish","NA","NA","NA"
"200",168909,"Rhomboplites aurorubens","Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Rhomboplites","aurorubens","VSNAP","Vermilion snapper","NA","NA","NA"
"201",551680,"Litopenaeus setiferus","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Litopenaeus","setiferus","WSHRIMP","White shrimp","NA","NA","NA"
"202",166740,"Sebastes ruberrimus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","ruberrimus","YEYEROCK","Yelloweye rockfish","NA","NA","NA"
"203",623193,"Macruronus novaezelandiae","Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Macruronus","novaezelandiae","HOKI","Hoki","New Zealand whiptail","NA","NA"
"204",168469,"Perca flavescens","Animalia","Chordata","Actinopterygii","Perciformes","Percidae","Perca","flavescens","YPER","Yellow perch","NA","NA","NA"
"205",172401,"Katsuwonus pelamis","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Katsuwonus","pelamis","SKJ","Skipjack tuna","NA","NA","NA"
"206",95625,"Penaeus esculentus","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus","esculentus","BTSHRIMP","Brown tiger shrimp","Brown tiger prawn","NA","NA"
"207",95644,"Penaeus semisulcatus","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus","semisulcatus","GTPRAWN","Green tiger prawn","Grooved Tiger Prawn","NA","NA"
"208",166139,"Hoplostethus atlanticus","Animalia","Chordata","Actinopterygii","Beryciformes","Trachichthyidae","Hoplostethus","atlanticus","OROUGHY","Orange roughy","NA","NA","NA"
"209",172531,"Seriolella brama","Animalia","Chordata","Actinopterygii","Perciformes","Centrolophidae","Seriolella","brama","WAREHOU","whario","Blue Warehou","NA","NA"
"210",644351,"Platycephalus conatus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Platycephalidae","Platycephalus","conatus","DEEPFLATHEAD","Deepwater flathead","NA","NA","NA"
"211",622143,"Centroberyx gerrardi","Animalia","Chordata","Actinopterygii","Beryciformes","Berycidae","Centroberyx","gerrardi","BIGHTRED","Bight redfish","NA","NA","NA"
"212",167612,"Cyclopterus lumpus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cyclopteridae","Cyclopterus","lumpus","LUMPFISH","Lumpfish","NA","NA","NA"
"213",164748,"Enchelyopus cimbrius","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Enchelyopus","cimbrius","FBROCKLING","Fourbeard rockling","NA","NA","NA"
"214",164717,"Gadus ogac","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadus","ogac","GRCOD","Greenland cod","NA","NA","NA"
"215",201978,"Gasterosteus aculeatus aculeatus","Animalia","Chordata","Actinopterygii","Gasterosteiformes","Gasterosteidae","Gasterosteus","aculeatus aculeatus","TSSTICKLEBACK","Threespine stickleback","NA","NA","NA"
"216",167289,"Hemitripterus americanus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Hemitripteridae","Hemitripterus","americanus","SEARAVEN","Sea raven","Sea sculpin","NA","NA"
"217",167375,"Triglops murrayi","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Triglops","murrayi","MSCULPIN","Mailed sculpin","Moustache sculpin","NA","NA"
"218",170481,"Tautogolabrus adspersus","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","adspersus","CUNNER","Cunner","NA","NA","NA"
"219",171596,"Stichaeus punctatus","Animalia","Chordata","Actinopterygii","Perciformes","Stichaeidae","Stichaeus","punctatus","ARCSHINNY","Arctic shinny","NA","NA","NA"
"220",164734,"Phycis chesteri","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Phycis","chesteri","LFHAKE","Longfin hake","NA","NA","NA"
"221",162041,"Osmerus mordax","Animalia","Chordata","Actinopterygii","Osmeriformes","Osmeridae","Osmerus","mordax","RBSMELT","Rainbow smelt","NA","NA","NA"
"222",162043,"Osmerus mordax mordax","Animalia","Chordata","Actinopterygii","Osmeriformes","Osmeridae","Osmerus","mordax mordax","RBSMELT","Rainbow smelt","NA","NA","NA"
"223",644687,"Arctozenus risso","Animalia","Chordata","Actinopterygii","Aulopiformes","Paralepididae","Arctozenus","risso","WBARRACUDINA","White barracudina","NA","NA","NA"
"224",167192,"Icelus spatula","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Icelus","spatula","SPSCULPIN","spatulate sculpin","NA","NA","NA"
"225",167478,"Leptagonus decagonus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Agonidae","Leptagonus","decagonus","ATLPOACHER","Atlantic poacher","NA","NA","NA"
"226",171603,"Leptoclinus maculatus","Animalia","Chordata","Actinopterygii","Perciformes","Stichaeidae","Leptoclinus","maculatus","DSHANNY","Daubed shanny","NA","NA","NA"
"227",165395,"Nezumia bairdii","Animalia","Chordata","Actinopterygii","Gadiformes","Macrouridae","Nezumia","bairdii","COMGRENADIER","Common grenadier","NA","NA","NA"
"228",159772,"Myxine glutinosa","Animalia","Chordata","Myxini","Myxiniformes","Myxinidae","Myxine","glutinosa","ATLHAGFISH","Atlantic hagfish","NA","NA","NA"
"229",167318,"Myoxocephalus scorpius","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Myoxocephalus","scorpius","SHORNSCULPIN","Shorthorn sculpin","NA","NA","NA"
"230",167317,"Myoxocephalus scorpioides","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Myoxocephalus","scorpioides","ARCSCULPIN","Arctic sculpin","NA","NA","NA"
"231",167320,"Myoxocephalus octodecemspinosus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Myoxocephalus","octodecemspinosus","LHORNSCULPIN","Longhorn sculpin","NA","NA","NA"
"232",165296,"Melanostigma atlanticum","Animalia","Chordata","Actinopterygii","Perciformes","Zoarcidae","Melanostigma","atlanticum","ATLSPOUT","Atlantic soft pout","NA","NA","NA"
"233",631028,"Gymnelus viridis","Animalia","Chordata","Actinopterygii","Perciformes","Zoarcidae","Gymnelus","viridis","FISHDOCTOR","Fish doctor","NA","NA","NA"
"234",631023,"Lumpenus lampretaeformis","Animalia","Chordata","Actinopterygii","Perciformes","Stichaeidae","Lumpenus","lampretaeformis","SNAKEBLENNY","Snakeblenny","NA","NA","NA"
"235",166705,"Sebastes spp","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","spp","SEBASTES","Sebastes species","NA","NA","NA"
"236",167550,"Liparis spp","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Liparidae","Liparis","spp","LIPARIS","Snailfishes","NA","NA","NA"
"237",165255,"Lycodes spp","Animalia","Chordata","Actinopterygii","Perciformes","Zoarcidae","Lycodes","spp","LYCODES","Eelpouts","NA","NA","NA"
"238",165280,"Lycodes reticulatus","Animalia","Chordata","Actinopterygii","Perciformes","Zoarcidae","Lycodes","reticulatus","ARCEELPOUT","Arctic eelpout","NA","NA","NA"
"239",172719,"Citharichthys arctifrons","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","arctifrons","GSFLOUNDER","Gulf Stream flounder","NA","NA","NA"
"240",166787,"Helicolenus dactylopterus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Helicolenus","dactylopterus","BBROSEFISH","Blackbelly rosefish","NA","NA","NULL "
"241",172783,"Hippoglossina oblonga","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Hippoglossina","oblonga","FSFLOUNDER","Fourspot flounder","NA","NA","NA"
"242",165284,"Lycodes vahlii","Animalia","Chordata","Actinopterygii","Perciformes","Zoarcidae","Lycodes","vahlii","CEELPOUT","Checker eelpout","NA","NA","NA"
"243",161701,"Alosa spp","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Alosa","spp","ALEWIFESPP","River herring species","NA","NA","NA"
"244",98671,"Cancer spp","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","spp","CANCERSPP","True crab species","NA","NA","NA"
"245",82703,"Limulus polyphemus","Animalia","Arthropoda","Merostomata","Xiphosura","Limulidae","Limulus","polyphemus","HORSESHOECRAB","Horseshoe crab","NA","NA","NA"
"246",98714,"Ovalipes ocellatus","Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","Ovalipes","ocellatus","LADYCRAB","Lady crab","NA","NA","NA"
"247",164800,"Merluccius hubbsi","Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","hubbsi","ARGHAKE","Argentine hake","NA","NA","NA"
"248",-999,"Pseudocarcinus gigas","Animalia","Arthropoda","Malacostraca","Decapoda","Menippidae","Pseudocarcinus","gigas","TASGIANTCRAB","Tasmanian giant crab","NA","NA","NA"
"249",168849,"Lutjanus analis","Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","analis","MUTSNAP","Mutton snapper","NA","NA","NA"
"250",552965,"Palinurus gilchristi","Animalia","Arthropoda","Malacostraca","Decapoda","Palinuridae","Palinurus","gilchristi","SSLOBSTER","Southern spiny lobster","NA","NA","NA"
"251",550662,"Macruronus magellanicus","Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Macruronus","magellanicus","PATGRENADIER","Patagonian grenadier","Merluza de cola","NA","NA"
"252",164797,"Merluccius australis","Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciinae","Merluccius","australis","SOUTHHAKE","Southern hake","NA","NA","NA"
"253",644604,"Sebastes variabilis","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","variabilis","DUSROCK","Dusky rockfish","NA","NA","NA"
"254",-997,"Haliotis iris","Animalia","Mollusca","Gastropoda","Archaeogastropoda","Haliotididae","Haliotis","iris","BFOOTABALONE","Blackfoot abalone","NA","NA","NA"
"255",98429,"Chionoecetes bairdi","Animalia","Arthropoda","Malacostraca","Decapoda","Oregoniidae","Chionoecetes","bairdi","TANNERCRAB","Tanner crab","NA","NA","NA"
"256",552953,"Jasus lalandii","Animalia","Arthropoda","Malacostraca","Decapoda","Palinuridae","Jasus","lalandii","CRLOBSTER","South African west coast rock lobster","Cape rock lobster","NA","NA"
"257",660179,"Lithodes aequispinus","Animalia","Arthropoda","Malacostraca","Decapoda","Lithodidae","Lithodes","aequispinus","GKINGCRAB","Golden king crab","NA","NA","NA"
"258",625280,"Pseudocyttus maculatus","Animalia","Chordata","Actinopterygii","Zeiformes","Oreosomatidae","Pseudocyttus","maculatus","SMOOTHOREO","Smooth oreo","NA","NA","NA"
"259",-996,"Haliotis spp","Animalia","Mollusca","Gastropoda","Archaeogastropoda","Haliotididae","Haliotis","NA","PAUA","Paua","New Zealand abalone species","NA","NA"
"260",660225,"Jasus edwardsii","Animalia","Arthropoda","Malacostraca","Decapoda","Palinuridae","Jasus","edwardsii","RROCKLOBSTER","Red rock lobster","NA","NA","NA"
"261",625296,"Allocyttus niger","Animalia","Chordata","Actinopterygii","Zeiformes","Oreosomatidae","Allocyttus","niger","BLACKOREO","Black oreo","NA","NA","NA"
"262",165000,"Genypterus blacodes","Animalia","Chordata","Actinopterygii","Ophidiiformes","Ophidiidae","Genypterus","blacodes","NZLING","New Zealand ling","NA","NA","NA"
"263",168641,"Pseudocaranx dentex","Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Pseudocaranx","dentex","TREVALLY","Trevally","White trevally","NA","NA"
"264",164796,"Merluccius paradoxus","Animalia","Chordata","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","paradoxus","DEEPCHAKE","Deep-water cape hake","Deep-water hake","NA","NA"
"265",169283,"Micropogonias undulatus","Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Micropogonias","undulatus","ATLCROAK","Atlantic croaker","NA","NA","NA"
"266",642807,"Dissostichus eleginoides","Animalia","Chordata","Actinopterygii","Perciformes","Nototheniidae","Dissostichus","eleginoides","PTOOTHFISH","Patagonian toothfish","NA","NA","NA"
"267",168597,"Trachurus murphyi","Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Trachurus","murphyi","CHTRAC","Chilean jack mackerel","NA","NA","NA"
"268",168907,"Ocyurus chrysurus","Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Ocyurus","chrysurus","YTSNAP","Yellowtail snapper","NA","NA","NA"
"269",166720,"Sebastes flavidus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","flavidus","YTROCK","Yellowtail rockfish","NA","NA","NA"
"270",167116,"Ophiodon elongatus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Hexagrammidae","Ophiodon","elongatus","LINGCOD","Lingcod","NA","NA","NA"
"271",166728,"Sebastes melanostomus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","melanostomus","BGROCK","Blackgill rockfish","NA","NA","NA"
"272",166783,"Sebastolobus alascanus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastolobus","alascanus","SSTHORNH","Shortspine thornyhead","NA","NA","NA"
"273",166784,"Sebastolobus altivelis","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastolobus","altivelis","LSTHORNH","Longspine thornyhead","NA","NA","NA"
"274",-995,"Haliotis midae","Animalia","Mollusca","Gastropoda","Archaeogastropoda","Haliotididae","Haliotis","midae","SAABALONE","South African abalone","NA","NA","NA"
"275",-998,"Redfish species","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","NA","NA","REDFISHSPP","Redfish species","NA","NA","NA"
"276",168827,"Arripis trutta","Animalia","Chordata","Actinopterygii","Perciformes","Arripidae","Arripis","trutta","AUSSALMON","Australian salmon","NA","NA","NA"
"277",167110,"Hexagrammos decagrammus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Hexagrammidae","Hexagrammos","decagrammus","KELPGREENLING","Kelp greenling","NA","NA","NA"
"278",642808,"Dissostichus mawsoni","Animalia","Chordata","Actinopterygii","Perciformes","Nototheniidae","Dissostichus","mawsoni","ATOOTHFISH","Antarctic toothfish","NA","NA","NA"
"279",159924,"Isurus oxyrinchus","Animalia","Chordata","Chondrichthyes","Lamniformes","Lamnidae","Isurus","oxyrinchus","SFMAKO","Shortfin mako","NA","NA","NA"
"280",169241,"Cynoscion regalis","Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Cynoscion","regalis","WEAKFISH","Weakfish","NA","NA","NA"
"281",165001,"Genypterus capensis","Animalia","Chordata","Actinopterygii","Ophidiiformes","Ophidiidae","Genypterus","capensis","KINGKLIP","Kingklip","NA","NA","NA"
"282",768127,"Kajikia audax","Animalia","Chordata","Actinopterygii","Perciformes","Istiophoridae","Kajikia","audax","STMARLIN","Striped marlin","Pacific striped marlin","NULL","NULL"
"283",551220,"Clupeonella engrauliformis","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupeonella","engrauliformis","ANCHOVYKILKA","Anchovy kilka","Anchovy sprat","NULL","NULL"
